ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_taken(min),distance
8FB2,PUNERES15DEL02,18.636215,73.751081,18.716215,73.831081,33,12.253528674537144
8A34,PUNERES010DEL01,18.539299,73.897902,18.549299,73.907902,28,1.5322531674035038
917F,PUNERES12DEL01,18.520016,73.830547,18.590016,73.900547,36,10.725453068738938
728A,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,35,1.5322015943257514
3E+82,PUNERES06DEL02,18.546258,73.904337,18.676258,74.034337,24,19.915585713443292
323A,PUNERES15DEL03,18.636215,73.751081,18.726215,73.841081,18,13.785027203355993
8CB2,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,21,6.128551257919138
5D92,PUNERES09DEL03,18.536562,73.896485,18.626562,73.986485,38,13.788852089943367
8C7B,PUNERES04DEL01,18.51421,73.838429,18.55421,73.878429,14,6.12918392293498
9EA4,PUNERES20DEL02,18.592718,73.773572,18.642718,73.823572,19,7.659703978703409
1740,PUNERES05DEL01,18.543626,73.905101,18.583626,73.945101,19,6.128684140033282
8753,PUNERES17DEL01,18.530963,73.828972,18.540963,73.838972,10,1.5322885596942126
9247,PUNERES16DEL02,18.536718,73.830327,18.616719,73.910327,41,12.25700312192057
93EF,PUNERES08DEL02,18.53408,73.89852,18.58408,73.94852,17,7.66095172081025
A6F9,PUNERES09DEL02,18.536562,73.896485,18.666562,74.026485,32,19.916122613819716
3419,PUNERES02DEL03,18.55144,73.804855,18.58144,73.834855,27,4.596477246826326
9782,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,20,4.59663204175947
699A,PUNERES010DEL02,18.539299,73.897902,18.589299,73.947902,21,7.660840811905797
124A,PUNERES11DEL03,18.533811,73.899315,18.563811,73.929315,30,4.59670198232987
BE42,PUNERES07DEL03,18.546947,73.900626,18.576947,73.930626,27,4.596534542243907
A8D7,PUNERES12DEL03,18.520016,73.830547,18.580016,73.890547,16,9.193373039577208
A0B9,PUNERES07DEL03,18.546947,73.900626,18.636947,73.990626,24,13.7884543583669
4C2F,PUNERES19DEL03,18.563934,73.915367,18.593934,73.945367,10,4.596317855297838
B849,PUNERES13DEL02,18.56245,73.916619,18.61245,73.966619,10,7.660348489150972
81D7,PUNERES16DEL02,18.536718,73.830327,18.586718,73.880327,12,7.660895664241821
A22D,PUNERES14DEL01,18.516216,73.842527,18.526216,73.852527,13,1.5323511358881128
6A01,PUNERES07DEL03,18.546947,73.900626,18.606947,73.960626,24,9.192686206949302
2846,PUNERES03DEL01,18.554382,73.798206,18.594382,73.838206,29,6.128501214162246
438E,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,21,3.0644638558352577
B036,PUNERES01DEL03,18.569156,73.774723,18.629156,73.834723,18,9.192119121311745
53F2,PUNERES02DEL02,18.55144,73.804855,18.60144,73.854855,19,7.660582694185052
D12,PUNERES18DEL02,18.593481,73.785901,18.723481,73.915901,44,19.91296718928853
5D6B,PUNERES11DEL02,18.533811,73.899315,18.663811,74.029315,35,19.916274899797408
59AA,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,28,12.256687342592269
402B,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,18,4.59663204175947
1FA6,PUNERES07DEL02,18.546947,73.900626,18.566947,73.920626,19,3.064398872055142
5269,PUNERES15DEL01,18.636215,73.751081,18.706215,73.821081,27,10.721987300671117
A75,PUNERES11DEL01,18.533811,73.899315,18.543811,73.909315,18,1.532276469519439
1AFE,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,26,16.852834881460105
AB19,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,43,16.851371030914212
B46,PUNERES20DEL02,18.592718,73.773572,18.672718,73.853572,37,12.25501434480783
55D5,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,25,12.256687342592269
8C7,PUNERES15DEL02,18.636215,73.751081,18.716215,73.831081,28,12.253528674537144
552F,PUNERES17DEL02,18.530963,73.828972,18.660963,73.958972,21,19.916432533839362
BC8C,PUNERES18DEL02,18.593481,73.785901,18.643481,73.835901,21,7.6596877195057695
AB42,PUNERES15DEL01,18.636215,73.751081,18.676215,73.791081,16,6.127106344248052
86B5,PUNERES18DEL02,18.593481,73.785901,18.643481,73.835901,18,7.6596877195057695
9A6A,PUNERES08DEL01,18.53408,73.89852,18.60408,73.96852,18,10.725034637880958
518F,PUNERES20DEL01,18.592718,73.773572,18.602718,73.783572,16,1.5320260227341909
6F5F,PUNERES16DEL03,18.536718,73.830327,18.596719,73.890327,29,9.19302787417212
DDB,PUNERES09DEL01,18.536562,73.896485,18.546562,73.906485,14,1.5322647895213353
871E,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,27,9.193469879776632
AE85,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,51,12.256076445468295
AE1B,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,16,10.724750462255022
6EAA,PUNERES05DEL03,18.543626,73.905101,18.603626,73.965101,20,9.192770952683546
7009,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,31,3.0644871057616703
1BFC,PUNERES18DEL02,18.593481,73.785901,18.673481,73.865901,43,12.254988311075596
5F8C,PUNERES02DEL02,18.55144,73.804855,18.60144,73.854855,25,7.660582694185052
8ACA,PUNERES14DEL02,18.516216,73.842527,18.536216,73.862527,18,3.0646598407974865
9D74,PUNERES09DEL03,18.536562,73.896485,18.566562,73.926485,19,4.596666925181527
59A1,PUNERES01DEL02,18.569156,73.774723,18.589156,73.794723,10,3.064210028101302
AED 7.00,PUNERES16DEL02,18.536718,73.830327,18.556718,73.850327,13,3.0644857806760535
511C,PUNERES16DEL01,18.536718,73.830327,18.576718,73.870328,49,6.1288740968464825
97A2,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,30,10.724750462255022
67D8,PUNERES08DEL01,18.53408,73.89852,18.64408,74.00852,52,16.852688970823085
BE1A,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,23,1.5323350156090414
B634,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,19,9.192703790075944
2A7C,PUNERES14DEL02,18.516216,73.842527,18.536216,73.862527,14,3.0646598407974865
45FD,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,23,9.193469879776632
98F9,PUNERES09DEL02,18.536562,73.896485,18.666562,74.026485,23,19.916122613819716
4E0C,PUNERES11DEL02,18.533811,73.899315,18.553811,73.919315,15,3.0645104714747093
642D,PUNERES07DEL02,18.546947,73.900626,18.596947,73.950626,24,7.660678233235288
566B,PUNERES010DEL03,18.539299,73.897902,18.599299,73.957902,27,9.192881349038215
499C,PUNERES03DEL02,18.554382,73.798206,18.684382,73.928206,17,19.915135664660593
2603,PUNERES010DEL02,18.539299,73.897902,18.589299,73.947902,38,7.660840811905797
AE3D,PUNERES19DEL02,18.563934,73.915367,18.613934,73.965367,17,7.66031691183285
96EE,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,20,3.0644638558352577
3CF7,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,15,4.596543327364382
7075,PUNERES02DEL03,18.55144,73.804855,18.61144,73.864855,29,9.192571532077613
6428,PUNERES03DEL01,18.554382,73.798206,18.624382,73.868206,15,10.724430107278945
9FEE,PUNERES05DEL01,18.543626,73.905101,18.553626,73.915101,24,1.532234790495708
319B,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,28,10.724517748046024
B51,PUNERES05DEL01,18.543626,73.905101,18.653626,74.015101,15,16.852241972645785
70BD,PUNERES17DEL01,18.530963,73.828972,18.540963,73.838972,29,1.5322885596942126
9B62,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,20,4.596543327364382
6143,PUNERES14DEL03,18.516216,73.842527,18.606216,73.932527,25,13.789630729980562
9450,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,20,9.193469879776632
4A8A,PUNERES01DEL01,18.569156,73.774723,18.609156,73.814723,22,6.128249797982013
B022,PUNERES14DEL02,18.516216,73.842527,18.566216,73.892527,29,7.661331134220826
7884,PUNERES04DEL01,18.51421,73.838429,18.58421,73.908429,17,10.72562572441868
64F0,PUNERES14DEL02,18.516216,73.842527,18.596216,73.922527,20,12.257619701209578
4546,PUNERES06DEL03,18.546258,73.904337,18.636258,73.994337,36,13.78848075238715
852F,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,29,9.193021332844554
9AE0,PUNERES07DEL01,18.546947,73.900626,18.616947,73.970626,16,10.72465156807538
8C69,PUNERES07DEL03,18.546947,73.900626,18.576947,73.930626,41,4.596534542243907
7DD3,PUNERES15DEL02,18.636215,73.751081,18.686215,73.801081,17,7.658776111980611
6421,PUNERES05DEL02,18.543626,73.905101,18.563626,73.925101,16,3.0644270930248725
6927,PUNERES06DEL03,18.546258,73.904337,18.636258,73.994337,19,13.78848075238715
BD71,PUNERES010DEL01,18.539299,73.897902,18.649299,74.007902,31,16.852444613264275
5F7B,PUNERES010DEL01,18.539299,73.897902,18.579299,73.937902,30,6.128757701629757
957D,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,42,16.851371030914212
B4E3,PUNERES010DEL02,18.539299,73.897902,18.619299,73.977902,16,12.256834609677016
215A,PUNERES11DEL01,18.533811,73.899315,18.603811,73.969315,24,10.72504264384306
3959,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,22,6.12841937845769
6CF8,PUNERES01DEL03,18.569156,73.774723,18.659156,73.864723,30,13.787603106955784
B312,PUNERES05DEL02,18.543626,73.905101,18.563626,73.925101,24,3.0644270930248725
54AE,PUNERES13DEL01,18.56245,73.916619,18.67245,74.026619,23,16.851359915661256
9435,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,23,10.724750462255022
1B9F,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,22,9.193014472266961
A32,PUNERES03DEL03,18.554382,73.798206,18.614382,73.858206,20,9.192496429758327
26FA,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,31,6.12841937845769
6FE2,PUNERES12DEL01,18.520016,73.830547,18.560016,73.870547,44,6.129085334979291
6ABE,PUNERES15DEL02,18.636215,73.751081,18.656215,73.771081,17,3.063638579712219
5C33,PUNERES03DEL01,18.554382,73.798206,18.594382,73.838206,20,6.128501214162246
201A,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,31,9.193093962702912
3B77,PUNERES19DEL03,18.563934,73.915367,18.593934,73.945367,16,4.596317855297838
90DA,PUNERES15DEL02,18.636215,73.751081,18.766215,73.881081,27,19.91059239709516
FF2,PUNERES11DEL01,18.533811,73.899315,18.573811,73.939315,23,6.128850978538233
539A,PUNERES07DEL01,18.546947,73.900626,18.656947,74.010626,20,16.85208641567295
B63F,PUNERES17DEL01,18.530963,73.828972,18.570963,73.868972,35,6.128899374764089
461D,PUNERES19DEL02,18.563934,73.915367,18.583935,73.935367,15,3.0643351463849164
50DA,PUNERES17DEL02,18.530963,73.828972,18.610963,73.908972,20,12.257118233178144
2DB1,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,24,1.5318406299867455
6FC6,PUNERES06DEL01,18.546258,73.904337,18.556258,73.914337,24,1.5322236104030795
8539,PUNERES09DEL01,18.536562,73.896485,18.576562,73.936485,34,6.128804224238058
9CE5,PUNERES20DEL02,18.592718,73.773572,18.642718,73.823572,29,7.659703978703409
16C1,PUNERES04DEL02,18.51421,73.838429,18.53421,73.858429,22,3.0646768621690934
8CEB,PUNERES04DEL01,18.51421,73.838429,18.55421,73.878429,23,6.12918392293498
191B,PUNERES18DEL03,18.593481,73.785901,18.623481,73.815901,30,4.595940524023754
9674,PUNERES07DEL02,18.546947,73.900626,18.676947,74.030626,40,19.91554755152054
77BB,PUNERES01DEL02,18.569156,73.774723,18.699156,73.904723,44,19.91431676645955
5.9E+10,PUNERES20DEL01,18.592718,73.773572,18.602718,73.783572,17,1.5320260227341909
8139,PUNERES20DEL01,18.592718,73.773572,18.662718,73.843572,21,10.723286946137815
6F7,PUNERES11DEL02,18.533811,73.899315,18.663811,74.029315,18,19.916274899797408
54C1,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,12,4.5969260911847485
9CB7,PUNERES15DEL03,18.636215,73.751081,18.666215,73.781081,33,4.595393825646015
A4BC,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,19,16.851371030914212
86EC,PUNERES06DEL01,18.546258,73.904337,18.586258,73.944337,32,6.128639386843045
8728,PUNERES16DEL03,18.536718,73.830327,18.566719,73.860327,25,4.5967456266495255
7284,PUNERES010DEL01,18.539299,73.897902,18.579299,73.937902,10,6.128757701629757
371A,PUNERES03DEL03,18.554382,73.798206,18.644382,73.888206,24,13.788169484007305
613E,PUNERES05DEL01,18.543626,73.905101,18.583626,73.945101,19,6.128684140033282
19AF,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,22,4.59663204175947
211C,PUNERES03DEL03,18.554382,73.798206,18.614382,73.858206,21,9.192496429758327
7635,PUNERES01DEL01,18.569156,73.774723,18.639156,73.844723,37,10.723989806656368
6CA8,PUNERES06DEL01,18.546258,73.904337,18.616258,73.974337,34,10.72467208673564
86A8,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,20,16.853347148215086
766A,PUNERES08DEL02,18.53408,73.89852,18.66408,74.02852,26,19.916260009775193
3C20,PUNERES16DEL01,18.536718,73.830327,18.546719,73.840328,24,1.5324173514302288
4E5E,PUNERES18DEL02,18.593481,73.785901,18.723481,73.915901,24,19.91296718928853
7452,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,24,9.193021332844554
AF06,PUNERES010DEL02,18.539299,73.897902,18.669299,74.027902,17,19.915971082561146
5C7B,PUNERES01DEL02,18.569156,73.774723,18.699156,73.904723,19,19.91431676645955
1F5A,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,24,10.724517748046024
511E,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,27,4.596543327364382
B999,PUNERES12DEL01,18.520016,73.830547,18.560016,73.870547,25,6.129085334979291
6945,PUNERES13DEL03,18.56245,73.916619,18.59245,73.946619,23,4.596336792438924
8498,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,33,4.5969260911847485
BD49,PUNERES010DEL03,18.539299,73.897902,18.629299,73.987902,15,13.788747286078188
234E,PUNERES16DEL01,18.536718,73.830327,18.546719,73.840328,24,1.5324173514302288
62FB,PUNERES02DEL03,18.55144,73.804855,18.61144,73.864855,16,9.192571532077613
A3AF,PUNERES08DEL02,18.53408,73.89852,18.61408,73.97852,46,12.25701219409813
8D19,PUNERES06DEL02,18.546258,73.904337,18.596258,73.954337,13,7.660692882261043
90A2,PUNERES14DEL01,18.516216,73.842527,18.556216,73.882527,25,6.129149863507623
A026,PUNERES17DEL02,18.530963,73.828972,18.550963,73.848972,11,3.0645346577473593
81AE,PUNERES17DEL03,18.530963,73.828972,18.560963,73.858972,22,4.596738270616882
342D,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,13,4.5969260911847485
14A7,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,11,9.192703790075944
32A5,PUNERES17DEL02,18.530963,73.828972,18.610963,73.908972,25,12.257118233178144
32D8,PUNERES05DEL01,18.543626,73.905101,18.653626,74.015101,43,16.852241972645785
4EEC,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,16,9.193014472266961
A443,PUNERES08DEL01,18.53408,73.89852,18.57408,73.93852,30,6.128846407056886
2FBE,PUNERES17DEL02,18.530963,73.828972,18.580963,73.878972,33,7.66101794664148
1783,PUNERES11DEL03,18.533811,73.899315,18.623811,73.989315,21,13.788957415778517
289D,PUNERES08DEL02,18.53408,73.89852,18.55408,73.91852,17,3.064508186852737
AB84,PUNERES19DEL02,18.563934,73.915367,18.583935,73.935367,29,3.0643351463849164
4A92,PUNERES14DEL02,18.516216,73.842527,18.646216,73.972527,43,19.9172484157288
A490,PUNERES13DEL02,18.56245,73.916619,18.61245,73.966619,24,7.660348489150972
BA84,PUNERES20DEL01,18.592718,73.773572,18.632718,73.813572,29,6.127848457033505
A8BF,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,17,1.5322015943257514
B2E2,PUNERES08DEL02,18.53408,73.89852,18.66408,74.02852,42,19.916260009775193
202D,PUNERES08DEL02,18.53408,73.89852,18.61408,73.97852,47,12.25701219409813
9C06,PUNERES18DEL01,18.593481,73.785901,18.663481,73.855901,26,10.723264172167632
82D1,PUNERES08DEL02,18.53408,73.89852,18.58408,73.94852,34,7.66095172081025
333F,PUNERES02DEL03,18.55144,73.804855,18.58144,73.834855,29,4.596477246826326
AE92,PUNERES06DEL02,18.546258,73.904337,18.566258,73.924337,24,3.064404727369966
186C,PUNERES14DEL01,18.516216,73.842527,18.556216,73.882527,25,6.129149863507623
770F,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,21,10.724879289478304
63A1,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,42,16.852834881460105
A74,PUNERES20DEL03,18.592718,73.773572,18.622718,73.803572,16,4.59595027478907
B660,PUNERES14DEL02,18.516216,73.842527,18.646216,73.972527,28,19.9172484157288
8FB1,PUNERES01DEL03,18.569156,73.774723,18.599156,73.804723,38,4.596251207088927
AACC,PUNERES16DEL02,18.536718,73.830327,18.586718,73.880327,44,7.660895664241821
4C24,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,16,1.5318406299867455
2.6E+01,PUNERES06DEL02,18.546258,73.904337,18.626258,73.984337,51,12.25659774869038
5883,PUNERES06DEL02,18.546258,73.904337,18.626258,73.984337,27,12.25659774869038
52D3,PUNERES01DEL02,18.569156,73.774723,18.649156,73.854723,25,12.255817809722812
BC33,PUNERES17DEL01,18.530963,73.828972,18.570963,73.868972,23,6.128899374764089
3FC2,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,51,9.193021332844554
9898,PUNERES16DEL03,18.536718,73.830327,18.626718,73.920327,28,13.7888461168452
11EC,PUNERES13DEL01,18.56245,73.916619,18.57245,73.926619,28,1.5321547990764783
414E,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,20,9.192703790075944
7E+99,PUNERES07DEL01,18.546947,73.900626,18.586947,73.940626,29,6.128627670485152
7C07,PUNERES05DEL02,18.543626,73.905101,18.593626,73.955101,27,7.66074883742589
9A19,PUNERES02DEL03,18.55144,73.804855,18.64144,73.894855,33,13.788282220013778
B6B0,PUNERES16DEL02,18.536718,73.830327,18.556718,73.850327,12,3.0644857806760535
82CF,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,22,3.0644871057616703
5621,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,26,1.5318406299867455
C4E,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,17,9.193093962702912
B41C,PUNERES15DEL01,18.636215,73.751081,18.746215,73.861081,39,16.847895631642253
5F27,PUNERES04DEL02,18.51421,73.838429,18.59421,73.918429,39,12.257687886802879
ADD7,PUNERES03DEL02,18.554382,73.798206,18.604382,73.848206,26,7.66052012420465
3589,PUNERES03DEL01,18.554382,73.798206,18.624382,73.868206,44,10.724430107278945
9C1E,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,27,1.5323350156090414
6174,PUNERES02DEL02,18.55144,73.804855,18.63144,73.884855,21,12.256421318543588
9D17,PUNERES16DEL01,18.536718,73.830327,18.646718,73.940327,26,16.85256546543028
B7B3,PUNERES11DEL02,18.533811,73.899315,18.583811,73.949315,28,7.660957436559021
8C94,PUNERES17DEL01,18.530963,73.828972,18.540963,73.838972,13,1.5322885596942126
42C1,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,19,1.5318406299867455
B35D,PUNERES03DEL03,18.554382,73.798206,18.644382,73.888206,38,13.788169484007305
2BFD,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,26,3.0644638558352577
A250,PUNERES11DEL01,18.533811,73.899315,18.603811,73.969315,27,10.72504264384306
E37,PUNERES16DEL01,18.536718,73.830327,18.606718,73.900327,17,10.724956120302584
7B3F,PUNERES14DEL03,18.516216,73.842527,18.606216,73.932527,34,13.789630729980562
A5E4,PUNERES20DEL02,18.592718,73.773572,18.612718,73.793572,10,3.0640094555094217
3688,PUNERES13DEL02,18.56245,73.916619,18.64245,73.996619,35,12.256046315965444
44B6,PUNERES03DEL01,18.554382,73.798206,18.564382,73.808206,25,1.5321890925569548
7C2A,PUNERES02DEL02,18.55144,73.804855,18.60144,73.854855,15,7.660582694185052
9885,PUNERES20DEL02,18.592718,73.773572,18.642718,73.823572,34,7.659703978703409
9236,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,24,10.724879289478304
8647,PUNERES07DEL03,18.546947,73.900626,18.576947,73.930626,29,4.596534542243907
82F3,PUNERES14DEL01,18.516216,73.842527,18.626216,73.952527,36,16.85352490584544
71B0,PUNERES18DEL01,18.593481,73.785901,18.703481,73.895901,29,16.849904095492622
8C91,PUNERES18DEL03,18.593481,73.785901,18.683481,73.875901,28,13.78666969363518
8B48,PUNERES16DEL03,18.536718,73.830327,18.566719,73.860327,31,4.5967456266495255
B4F9,PUNERES20DEL03,18.592718,73.773572,18.652718,73.833572,27,9.19151681625338
9B3C,PUNERES18DEL02,18.593481,73.785901,18.643481,73.835901,22,7.6596877195057695
9562,PUNERES18DEL02,18.593481,73.785901,18.723481,73.915901,37,19.91296718928853
4063,PUNERES13DEL03,18.56245,73.916619,18.62245,73.976619,32,9.192290417405088
707D,PUNERES17DEL02,18.530963,73.828972,18.610963,73.908972,49,12.257118233178144
603,PUNERES07DEL01,18.546947,73.900626,18.586947,73.940626,27,6.128627670485152
7D6,PUNERES11DEL02,18.533811,73.899315,18.613811,73.979315,35,12.257021346006622
77D6,PUNERES010DEL01,18.539299,73.897902,18.549299,73.907902,24,1.5322531674035038
4210,PUNERES19DEL03,18.563934,73.915367,18.623935,73.975367,21,9.192333207689474
7E+15,PUNERES07DEL01,18.546947,73.900626,18.656947,74.010626,24,16.85208641567295
9FD0,PUNERES14DEL01,18.516216,73.842527,18.556216,73.882527,26,6.129149863507623
76E,PUNERES05DEL02,18.543626,73.905101,18.563626,73.925101,15,3.0644270930248725
9350,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,43,10.724879289478304
851A,PUNERES16DEL03,18.536718,73.830327,18.626718,73.920327,39,13.7888461168452
6.2E+08,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,27,6.128551257919138
7209,PUNERES01DEL01,18.569156,73.774723,18.609156,73.814723,26,6.128249797982013
4068,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,29,3.0644638558352577
